ID,NodeA,NodeZ,Free_Flow_Speed,Length,Lane_num
gneE310,C115,C128,13.89,288.97,1
gneE311,C127,C114,13.89,284.42,2
gneE312,C113,C126,13.89,284.23,1
gneE313,C125,C112,13.89,289.27,1
gneE314,C111,C124,13.89,288.94,1
gneE315,C123,C110,13.89,288.83,1
gneE316,C109,C122,13.89,293.57,1
gneE317,C121,C108,13.89,293.28,1
gneE318,C107,C120,13.89,293.28,1
gneE319,C105,C118,13.89,288.61,2
gneE32,C23,C40,13.89,133.96,2
gneE320,C120,C135,13.89,255.13,1
gneE321,C136,C121,13.89,261.52,1
gneE322,C122,C137,13.89,260.83,1
gneE323,C138,C123,13.89,261.12,1
gneE324,C124,C139,13.89,265.82,1
gneE325,C140,C125,13.89,265.54,1
gneE326,C142,C127,13.89,259.66,1
gneE327,C128,C143,13.89,259.13,1
gneE328,C144,C129,13.89,254.19,1
gneE329,C130,C145,13.89,263.25,1
gneE330,C146,C131,13.89,262.24,1
gneE331,C157,C143,13.89,45.35,1
gneE332,C154,C140,13.89,61.83,1
gneE333,C139,C153,13.89,65.75,1
gneE334,C152,C138,13.89,73.96,1
gneE335,C150,C136,13.89,101.79,1
gneE38,C91,C90,13.89,64.94,2
gneE39,C90,C89,13.89,58.51,2
gneE40,C89,C88,13.89,64.79,2
gneE42,C95,C94,13.89,61.86,2
gneE44,C94,C112,13.89,139.15,2
gneE45,C113,C114,13.89,58.53,3
gneE46,C93,C92,13.89,65.39,2
gneE47,C96,C114,13.89,141.95,2
gneE48,C86,C85,13.89,71.32,2
gneE49,C52,C36,13.89,117.97,1
gneE52,C52,C51,13.89,71.23,3
gneE53,C53,C52,13.89,64.84,3
gneE56,C87,C86,13.89,61.40,2
gneE57,C104,C86,13.89,147.44,1
gneE58,C88,C87,13.89,66.59,2
gneE59,C105,C87,13.89,147.20,2
gneE6,C37,C20,13.89,141.58,1
gneE61,C103,C104,13.89,71.75,3
gneE62,C117,C104,13.89,291.30,2
gneE63,C104,C105,13.89,57.92,3
gneE64,C105,C106,13.89,66.86,3
gneE65,C119,C106,13.89,288.83,2
gneE66,C118,C105,13.89,288.61,2
gneE67,C124,C111,13.89,288.94,1
gneE68,C122,C109,13.89,293.57,2
gneE69,C137,C122,13.89,260.83,1
gneE70,C137,C138,13.89,59.48,4
gneE71,C110,C123,13.89,288.83,2
gneE72,C112,C125,13.89,289.27,2
gneE73,C126,C113,13.89,284.23,2
gneE74,C124,C123,13.89,65.47,3
gneE75,C123,C138,13.89,261.12,2
gneE76,C139,C124,13.89,265.82,1
gneE77,C125,C140,13.89,265.54,1
gneE78,C126,C125,13.89,63.52,3
gneE79,C141,C126,13.89,260.05,2
gneE80,C127,C142,13.89,259.66,1
gneE81,C143,C128,13.89,259.13,1
gneE82,C128,C127,13.89,62.25,3
gneE83,C129,C128,13.89,65.31,3
gneE84,C114,C127,13.89,284.42,2
gneE85,C128,C115,13.89,288.97,1
gneE86,C135,C120,13.89,255.13,2
gneE88,C135,C136,13.89,61.10,4
gneE89,C121,C136,13.89,261.52,1
gneE90,C136,C150,13.89,101.79,1
gneE91,C136,C137,13.89,64.52,4
gneE92,C151,C137,13.89,82.30,2
gneE93,C138,C139,13.89,64.78,4
gneE95,C149,C135,13.89,123.50,2
gneE96,C149,C150,13.89,63.26,1
gneE97,C150,C151,13.89,65.53,1
gneE98,C150,C160,13.89,52.43,1
gneE99,C138,C152,13.89,73.96,2
